ID,H_conc,HCP_conc,FCC_conc,F_111,F_110,F_100,Sphericity,CC_coord,sp1,sp2,sp2x,sp3,dCC,dCCe,aCCC,aCCCe,D_nm,x,y,label,minR,IDclosestLabel,integerID,order,ILS1,ILSorder,ILS2,clusterID
0,0.0,0.0,0.0,0.464,0.0,0.536,0.003532537296003269,0.21153846153846173,0.0,0.4117323902756507,0.9137061745974164,0.17600000000000002,0.3272727272727293,0.19855595667870035,0.4020715630885117,0.5800901269971324,0.0,0.8976791,0.35858345,0,0.48846734500898,25.0,0.0,425.0,2,434.0,1,6
1,1.0,0.5378285714285714,0.0816774283135458,0.464,0.0,0.536,0.003532537296003269,0.21153846153846173,0.0,0.0,0.0,1.0,0.9090909090909092,0.03971119133574007,0.16854990583804194,0.09190222586371703,0.061079892499389186,0.69743115,0.8229413000000001,0,0.3764415041061237,7.0,1.0,495.0,1,493.0,1,1
2,0.0,0.0,0.0,0.237,0.763,0.0,0.00919627477885151,0.15384615384615394,0.0,0.5155402733763106,0.6944942898213907,0.158,0.3181818181818192,0.19855595667870035,0.477401129943502,0.6053529974054349,0.011238700219887595,0.8607322000000001,0.30982685,0,0.34629416918477635,16.0,2.0,427.0,2,436.0,2,7
3,0.9393927987015432,0.4811885714285714,0.07308199680622092,0.237,0.763,0.0,0.00919627477885151,0.2884615384615383,0.0,0.0,0.0,1.0,0.8454545454545465,0.03971119133574007,0.1789077212806031,0.08507442305066229,0.07231859271927678,0.65425766,0.8118305,0,0.164568657380173,9.0,3.0,465.0,1,463.0,1,1
4,0.0,0.0,0.0,0.816,0.184,0.0,0.1013341897060112,0.13461538461538472,0.21645021645021645,0.3499142126988533,0.9699640919293168,0.15,0.2909090909090929,0.18050541516245489,0.518832391713748,0.4913286904274205,0.016583190813584173,0.88339376,0.351631,0,0.5101950455500845,27.0,4.0,429.0,2,438.0,1,6
5,0.9117651617646082,0.4571428571428572,0.06942997986530584,0.816,0.184,0.0,0.1013341897060112,0.3269230769230768,0.0,0.0,0.0,1.0,0.8272727272727283,0.02527075812274368,0.17796610169491522,0.057080431517137785,0.07766308331297336,0.6794145,0.8176770999999999,0,0.4371666163359926,11.0,5.0,497.0,1,495.0,1,1
6,0.0,0.3975314285714285,0.0,0.635,0.0,0.365,0.1091583218988118,0.13461538461538472,0.9047619047619048,0.26360204023313616,0.5063212559871033,0.304,0.38181818181818383,0.28158844765342955,0.404896421845574,0.5520961354636078,0.031547764475934506,0.88515157,0.37971616,0,0.738090671710487,32.0,6.0,462.0,2,460.0,1,6
7,0.972124363116208,0.7950171428571428,0.060376310490869965,0.635,0.0,0.365,0.1091583218988118,0.2500000000000002,0.0,0.0,0.0,1.0,0.8636363636363626,0.04332129963898917,0.17702448210922736,0.10009558923938276,0.0926276569753237,0.6908932,0.82906544,0,0.2306869059509981,26.0,7.0,482.0,1,480.0,1,1
8,0.0,0.14066285714285715,0.0,0.153,0.847,0.0,0.0723148337371909,0.1730769230769232,0.03463203463203463,0.5202057962122952,0.19399281838586327,0.2,0.3909090909090919,0.16967509025270758,0.4322033898305086,0.6033046565615184,0.04526020034204736,0.8642286,0.30148459999999994,0,0.5486953040722617,2.0,8.0,430.0,2,439.0,2,7
9,0.9058441630333935,0.5274514285714286,0.10681108102478652,0.153,0.847,0.0,0.0723148337371909,0.3365384615384616,0.0,0.0,0.0,1.0,0.8727272727272727,0.04693140794223827,0.17702448210922736,0.10282671036460468,0.10634009284143664,0.653085,0.81144774,0,0.8773763615583265,18.0,9.0,464.0,1,462.0,1,1
10,0.0,0.1632457142857143,0.0,0.479,0.383,0.138,0.000934224739438908,0.24038461538461536,0.3073593073593073,0.2671011823601247,0.8031302681174742,0.229,0.4090909090909101,0.19133574007220214,0.4369114877589452,0.4571896763621467,0.05384192523821155,0.87437314,0.33888470000000004,0,0.3582057094073504,27.0,10.0,420.0,2,429.0,1,6
11,0.8664586714731418,0.4897828571428571,0.09918766923557593,0.479,0.383,0.138,0.000934224739438908,0.3846153846153845,0.0,0.0,0.0,1.0,0.8363636363636363,0.02527075812274368,0.17702448210922736,0.05298374982930493,0.1149218177376008,0.67101264,0.8198263000000001,0,0.4904448407461783,3.0,11.0,466.0,1,464.0,1,1
12,0.0,0.2571428571428572,0.0,0.464,0.0,0.536,0.056433013166729926,0.07692307692307697,1.0,0.2985934615030215,0.4733424768615066,0.269,0.35454545454545555,0.2888086642599278,0.4529190207156309,0.5247849242113888,0.06981431712680182,0.88484305,0.37987414,0,0.31971696897414226,6.0,12.0,463.0,2,461.0,1,6
13,0.94897843950462,1.0,0.08678747483163231,0.421,0.579,0.244,0.002598312556564427,0.27884615384615385,0.0,0.0,0.0,1.0,0.9090909090909092,0.06498194945848376,0.1732580037664786,0.12535845964768536,0.13089420962619108,0.6585441,0.82621527,0,0.4585163397041945,28.0,13.0,498.0,1,496.0,1,1
14,0.0,0.0,0.0,1.0,0.0,0.0,0.04601056841736495,0.019230769230769246,0.02623809523809524,0.6998284253977066,0.5525846633157641,0.048485,0.1181818181818192,0.1335740072202166,0.7683615819209033,0.4558241157995357,0.07360127046176396,0.97802603,0.43968928,0,0.3379083798464501,43.0,14.0,325.0,2,395.0,3,8
15,0.8355782495189467,0.0,0.29454974658057353,1.0,0.0,0.0,0.04601056841736495,1.0,0.0,0.0,0.0,1.0,0.8181818181818182,0.0072202166064981935,0.17702448210922736,0.02908643998361327,0.1346811629611532,0.351012,0.85990787,0,0.16537963404233652,44.0,15.0,133.0,1,306.0,4,4
16,0.0,0.0,0.03967229049503576,0.24,0.76,0.0,0.017020406971652118,0.2307692307692309,0.2226363636363637,0.33991716364204705,0.6762027069757878,0.251429,0.400000000000002,0.18772563176895304,0.3888888888888883,0.6633893213164004,0.08096139750794035,0.8554019,0.30847332,0,0.4900807413924638,50.0,16.0,426.0,2,435.0,2,7
17,0.8253969659863644,0.0,0.2777199194612234,0.24,0.76,0.0,0.017020406971652118,1.0,0.0,0.0,0.0,1.0,0.8636363636363626,0.06137184115523465,0.14971751412429404,0.206609313123037,0.1420412900073296,0.11279279,0.14236401,0,0.16125751660467608,18.0,17.0,221.0,1,68.0,5,5
18,0.8826694537136885,0.0,0.2777199194612234,0.24,0.76,0.0,0.017020406971652118,1.0,0.0,0.0,0.0,1.0,0.8545454545454545,0.03610108303249097,0.1789077212806031,0.061177113204970636,0.1420412900073296,0.114248,0.14221367,0,0.17759056054540964,51.0,18.0,220.0,1,67.0,5,5
19,0.0,0.0,0.007762271748941194,0.0,0.85,0.15,0.002802674218316659,0.09615384615384624,0.24184415584415586,0.2085150457279557,0.9970571289450864,0.162011,0.38181818181818383,0.16606498194945846,0.3709981167608283,0.7070872593199508,0.08380161250916197,0.8470502000000001,0.30576718,0,0.4890375325970207,16.0,19.0,428.0,2,437.0,2,7
20,0.8522341030926922,0.0,0.27151287926126505,0.0,0.85,0.15,0.002802674218316659,1.0,0.0,0.0,0.0,1.0,0.8636363636363626,0.05415162454873647,0.17702448210922736,0.06732213573671993,0.14488150500855115,0.12548767,0.15120976,0,0.14675812474539107,54.0,20.0,241.0,1,110.0,5,5
21,0.0,0.25398857142857145,0.03857529681316394,0.421,0.579,0.244,0.002598312556564427,0.30769230769230754,0.3593073593073593,0.2985934615030215,0.5819784551575901,0.361,0.4818181818181828,0.18050541516245489,0.3964218455743872,0.4708452819882562,0.08450403127290494,0.86708254,0.33273634,0,0.3814007157475036,10.0,21.0,421.0,2,430.0,1,6
22,0.8399005343070284,0.5079314285714286,0.11571200444351873,0.464,0.0,0.536,0.056433013166729926,0.4134615384615386,0.0,0.0,0.0,1.0,0.8363636363636363,0.02527075812274368,0.17608286252354086,0.05025262870408302,0.14558392377229412,0.6988772,0.82587606,0,0.29272097255075025,1.0,22.0,496.0,1,494.0,1,1
23,0.0,0.0,0.10565854335902244,0.0,1.0,0.0,0.02344320205529444,0.3269230769230768,0.5646536796536796,0.15213686777791646,0.5904132629010074,0.434783,0.5818181818181818,0.21660649819494585,0.27118644067796555,0.3718421411989622,0.08731370632787687,0.83440477,0.27553892,0,0.3339125367602242,55.0,23.0,393.0,2,172.0,2,7
24,0.8740603127013616,0.0,0.2263972783447893,0.0,1.0,0.0,0.02344320205529444,1.0,0.0,0.0,0.0,1.0,0.8454545454545465,0.03249097472924188,0.1789077212806031,0.040010924484500894,0.14839359882726608,0.12873663,0.15729915,0,0.1859790833345719,56.0,24.0,238.0,1,107.0,5,5
25,0.0,0.26464,0.0,0.635,0.0,0.365,0.1690362887922226,0.25961538461538464,0.09090909090909093,0.3930702989317119,0.6944942898213907,0.253,0.4090909090909101,0.2057761732851985,0.4180790960451973,0.5309299467431381,0.09146713901783536,0.91330856,0.36171135,0,0.3121604471990509,57.0,25.0,396.0,2,405.0,1,6
26,0.8571431734693199,0.8421028571428572,0.14616399361244187,0.635,0.0,0.365,0.1690362887922226,0.3942307692307693,0.0,0.0,0.0,1.0,0.9090909090909092,0.03249097472924188,0.17137476459510287,0.08507442305066229,0.15254703151722454,0.69053364,0.8378242,0,0.2851793139923755,58.0,26.0,481.0,1,479.0,1,1
