ID,shape,numAg,massDensity,volAtom,coordinateNumber,lengthBond,errBond,numBond,angle,errAngle,numAngle,nSurfaceAtoms,diameter,aspectRatio,popFCC,popHCP,popICOS,SCN3,SCN4,SCN5,SCN6,SCN7,SCN8,SCN9,SCN10,SCN11,Efermi,IP,EA,Eg,popSurface,coordNumberNormalised,amorph
Ag380-DH,DH,380,7.095,25.245,9.89,2.947,0.10300000000000001,0.11457618661510634,95.92,35.05,17573,193,0.4418776757043251,0.346271930662671,0.37433155100000004,0.347593583,0.0,0.0,0.0,0.0,0.010362694,0.41450777200000005,0.10362694300000001,0.41450777200000005,0.056994819,0.0,-3.9028,4.5052,3.3008,1.2044,0.5078947368421053,0.8241666666666667,0.278074866
Ag383-DH,DH,383,6.636,26.991,9.91,2.946,0.10099999999999999,0.1156988710784008,95.95,35.24,17731,207,0.44574609533231546,0.2674348066507143,0.511363636,0.397727273,0.0,0.0,0.0,0.0,0.009661836,0.193236715,0.289855072,0.48309178700000005,0.024154589,0.0,-3.8488,4.4401,3.2579,1.1822,0.5404699738903395,0.8258333333333333,0.090909091
Ag389-DH,DH,389,10.184,17.588,9.96,2.949,0.106,0.11825609680034928,96.0,35.09,18287,197,0.4403977267597255,0.07153943635905118,0.572916667,0.33854166700000005,0.0,0.0,0.0,0.0,0.010152284000000001,0.355329949,0.253807107,0.304568528,0.076142132,0.0,-3.843,4.4493,3.2369,1.2124,0.506426735218509,0.8300000000000001,0.08854166600000002
Ag393-DH,DH,393,5.071000000000001,35.323,9.88,2.944,0.099,0.11850558223663693,95.97,35.29,18126,212,0.4525695472520508,0.35553957138497555,0.5524861879999999,0.386740331,0.0,0.0,0.0,0.0,0.009433961999999999,0.188679245,0.330188679,0.471698113,0.0,0.0,-3.905,4.485,3.3252,1.1598,0.539440203562341,0.8233333333333334,0.06077348100000002
Ag393-RH,RH,393,9.634,18.593,9.71,2.9389999999999996,0.141,0.11638495602819185,96.36,35.53,17910,144,0.4519752765756265,0.04558268443738986,0.662650602,0.0,0.0,0.0,0.0,0.0,0.5,0.333333333,0.166666667,0.0,0.0,0.0,-3.7202,4.3159,3.1249,1.1909999999999998,0.366412213740458,0.8091666666666667,0.33734939799999997
Ag394-TR,TR,394,8.646,20.718000000000004,9.75,2.9389999999999996,0.134,0.11713341233705482,96.18,35.46,17940,152,0.4567743103572558,0.08221758731893752,0.67768595,0.0,0.0,0.0,0.0,0.0,0.31578947399999996,0.473684211,0.0,0.21052631600000002,0.0,0.0,-3.6882,4.2826,3.0953,1.1873,0.38578680203045684,0.8125,0.32231405
Ag399-RO,RO,399,8.526,21.009,9.8,2.943,0.127,0.11937878126364374,96.45,35.75,18342,174,0.4504550290187909,0.10631203661746427,0.6266666670000001,0.0,0.0,0.0,0.0,0.0,0.137931034,0.551724138,0.034482759,0.275862069,0.0,0.0,-3.7242,4.3119,3.1367,1.1752,0.43609022556390975,0.8166666666666668,0.37333333299999993
Ag39-DH,DH,39,4.973,36.016,7.59,2.843,0.122,0.006611364061622903,91.21,32.76,1082,32,0.17767894724525798,0.10066158412699484,0.0,0.7142857140000001,0.0,0.0,0.0,0.3125,0.0625,0.3125,0.3125,0.0,0.0,0.0,-3.4036,4.6962,2.1296,2.5666,0.8205128205128205,0.6325,0.28571428599999993
Ag405-TO,TO,405,10.367,17.278,9.96,2.948,0.098,0.12312106280795859,96.29,35.7,19014,204,0.44678215088230766,0.07395379726732546,0.9402985070000001,0.0,0.0,0.0,0.0,0.0,0.0,0.41176470600000004,0.117647059,0.470588235,0.0,0.0,-3.8483,4.4401,3.2569,1.1832,0.5037037037037037,0.8300000000000001,0.05970149299999994
Ag409-DH,DH,409,7.937,22.566999999999997,10.11,2.9610000000000003,0.141,0.1263020021206262,95.66,34.72,19551,202,0.45117221526020757,0.14755915435857314,0.193236715,0.342995169,0.0,0.0,0.0,0.004950495,0.044554455,0.024752475,0.381188119,0.46039604,0.084158416,0.0,-3.9227,4.5117,3.3342,1.1775,0.4938875305623472,0.8424999999999999,0.463768116
